step_index,timestep,pre_inside_ratio,pre_layout_loss,post_inside_ratio,post_layout_loss,delta_ratio,delta_loss,inner_losses,cumulative_update_norm,cumulative_relative_update,has_nan_or_inf
1,801.0,0.10270863026380539,0.897291362285614,0.10288159549236298,0.8971183896064758,0.00017296522855758667,-0.0001729726791381836,0.89729136;0.89725494;0.89722377;0.89719003;0.89715588,0.9072265625,0.0006861686706542969,False
2,701.0,0.10366658121347427,0.8963333964347839,0.10414020717144012,0.8958597779273987,0.00047362595796585083,-0.0004736185073852539,0.89633340;0.89624178;0.89614671;0.89605248;0.89595950,1.3896484375,0.00159454345703125,False
3,601.0,0.1050901785492897,0.8949097990989685,0.10615523159503937,0.8938447833061218,0.0010650530457496643,-0.0010650157928466797,0.89490980;0.89469606;0.89449108;0.89427549;0.89405775,2.0078125,0.003299713134765625,False
4,501.0,0.10673917829990387,0.8932608366012573,0.10890015959739685,0.8910998106002808,0.002160981297492981,-0.0021610260009765625,0.89326084;0.89283156;0.89238912;0.89195848;0.89153337,2.828125,0.006328582763671875,False
