step_index,timestep,pre_inside_ratio,pre_layout_loss,post_inside_ratio,post_layout_loss,delta_ratio,delta_loss,inner_losses,cumulative_update_norm,cumulative_relative_update,has_nan_or_inf
1,801.0,0.10270863026380539,0.897291362285614,0.1027296930551529,0.8972703218460083,2.1062791347503662e-05,-2.104043960571289e-05,0.89729136;0.89728826;0.89728302;0.89727783;0.89727521,0.1856689453125,0.0001404285430908203,False
2,701.0,0.10353504121303558,0.8964649438858032,0.10362524539232254,0.8963747620582581,9.020417928695679e-05,-9.018182754516602e-05,0.89646494;0.89644885;0.89643085;0.89641160;0.89639503,0.35400390625,0.00040602684020996094,False
3,601.0,0.10467609018087387,0.8953239321708679,0.10492909699678421,0.8950709104537964,0.00025300681591033936,-0.0002530217170715332,0.89532393;0.89527297;0.89522243;0.89517027;0.89511943,0.5703125,0.0009365081787109375,False
4,501.0,0.10564856231212616,0.8943514227867126,0.10625257343053818,0.8937474489212036,0.0006040111184120178,-0.0006039738655090332,0.89435142;0.89423120;0.89411175;0.89399093;0.89386755,0.84521484375,0.00189208984375,False
