step_index,timestep,ratio_before,ratio_after,ratio_delta,loss_before,loss_after,loss_delta,gradient_norm,latent_norm,update_norm,relative_update,has_nan,has_inf
0,901.0,0.10238351672887802,0.10246986150741577,8.634477853775024e-05,0.8976165056228638,0.8975301384925842,-8.636713027954102e-05,0.00017178058624267578,2158.0,0.5009765625,0.0002321004867553711,False,False
1,801.0,0.10276824235916138,0.10287801921367645,0.00010977685451507568,0.8972317576408386,0.8971219658851624,-0.00010979175567626953,0.00019884109497070312,1322.0,0.5009765625,0.0003788471221923828,False,False
2,701.0,0.10366176813840866,0.10383862257003784,0.0001768544316291809,0.8963382244110107,0.8961613774299622,-0.00017684698104858398,0.00028967857360839844,871.5,0.50048828125,0.0005741119384765625,False,False
3,601.0,0.10483202338218689,0.1050887182354927,0.00025669485330581665,0.8951679468154907,0.8949112892150879,-0.00025665760040283203,0.00040793418884277344,608.5,0.50048828125,0.0008225440979003906,False,False
4,501.0,0.1058814600110054,0.10623973608016968,0.0003582760691642761,0.8941185474395752,0.8937602639198303,-0.00035828351974487305,0.0005702972412109375,446.75,0.5,0.0011196136474609375,False,False
