denoising_index,timestep,sigma,inner_index,mid_ratio,up_ratio,aggregate_energy,loss_scaled,gradient_norm,latent_norm,update_norm,relative_update,has_nan_or_inf,update_executed
0,951.0,11.028335571289062,0,0.10184676945209503,0.10697491466999054,0.8020865321159363,24.06259536743164,0.01318359375,2828.0,1.603515625,0.0005669593811035156,False,True
0,951.0,11.028335571289062,1,0.10200686007738113,0.1075960025191307,0.8013883233070374,24.041648864746094,0.0134735107421875,2828.0,1.638671875,0.0005793571472167969,False,True
0,951.0,11.028335571289062,2,0.10216822475194931,0.1082388386130333,0.8006699681282043,24.020099639892578,0.0138092041015625,2828.0,1.6796875,0.0005941390991210938,False,True
0,951.0,11.028335571289062,3,0.10232919454574585,0.10892337560653687,0.7999151945114136,23.997455596923828,0.01409912109375,2828.0,1.71484375,0.000606536865234375,False,True
0,951.0,11.028335571289062,4,0.10250592231750488,0.10966811329126358,0.7990932464599609,23.972797393798828,0.01433563232421875,2828.0,1.7431640625,0.0006165504455566406,False,True
1,932.0,9.91717529296875,0,0.10202889889478683,0.11069990694522858,0.7986034154891968,23.95810317993164,0.021392822265625,2544.0,2.103515625,0.0008268356323242188,False,True
1,932.0,9.91717529296875,1,0.102273128926754,0.11204533278942108,0.7971885204315186,23.9156551361084,0.01873779296875,2544.0,1.84375,0.00072479248046875,False,True
1,932.0,9.91717529296875,2,0.10247164964675903,0.11306658387184143,0.7961040735244751,23.883121490478516,0.01715087890625,2544.0,1.6875,0.0006632804870605469,False,True
1,932.0,9.91717529296875,3,0.10264146327972412,0.11393682658672333,0.7951801419258118,23.855403900146484,0.0160980224609375,2544.0,1.583984375,0.0006227493286132812,False,True
1,932.0,9.91717529296875,4,0.10279185324907303,0.11471477150917053,0.7943562269210815,23.830686569213867,0.01517486572265625,2544.0,1.4921875,0.0005865097045898438,False,True
2,913.0,8.943601608276367,0,0.10223376005887985,0.11473213136196136,0.7948416471481323,23.84524917602539,0.0191192626953125,2296.0,1.529296875,0.0006661415100097656,False,True
2,913.0,8.943601608276367,1,0.10238661617040634,0.11560222506523132,0.7939345836639404,23.818037033081055,0.0168304443359375,2296.0,1.3466796875,0.0005865097045898438,False,True
2,913.0,8.943601608276367,2,0.10252217203378677,0.11627421528100967,0.7932188510894775,23.796566009521484,0.01557159423828125,2296.0,1.2451171875,0.0005421638488769531,False,True
2,913.0,8.943601608276367,3,0.10263779759407043,0.11686964333057404,0.7925891280174255,23.777673721313477,0.01483154296875,2296.0,1.1865234375,0.0005168914794921875,False,True
2,913.0,8.943601608276367,4,0.10274699330329895,0.11740755289793015,0.7920162081718445,23.760486602783203,0.01430511474609375,2296.0,1.14453125,0.0004982948303222656,False,True
