denoising_index,timestep,sigma,energy_first,energy_last_pre_update,energy_final,mid_ratio_first,mid_ratio_last,up_ratio_first,up_ratio_last,executed_inner_iterations
0,951.0,11.028335571289062,0.8020865321159363,0.7990932464599609,0.7982652187347412,0.10184676945209503,0.10266952961683273,0.10697491466999054,0.11043350398540497,5
1,932.0,9.91717529296875,0.7986034154891968,0.7943562269210815,0.7936173677444458,0.10202889889478683,0.10292547941207886,0.11069990694522858,0.11541422456502914,5
2,913.0,8.943601608276367,0.7948416471481323,0.7920162081718445,0.7914884686470032,0.10223376005887985,0.10284333676099777,0.11473213136196136,0.11790767312049866,5
3,894.0,8.088179588317871,0.7932942509651184,0.7899543046951294,0.7893739938735962,0.10269081592559814,0.10331156849861145,0.11601771414279938,0.11983076483011246,5
4,875.0,7.334478855133057,0.7909994125366211,0.787636399269104,0.7870283126831055,0.10327474772930145,0.1038326844573021,0.11802336573600769,0.12196774780750275,5
5,856.0,6.668572902679443,0.7879437208175659,0.7848961353302002,0.7842123508453369,0.10382770001888275,0.10424952954053879,0.12093076854944229,0.1247539147734642,5
6,837.0,6.078628063201904,0.785212516784668,0.7821846008300781,0.781497597694397,0.10419076681137085,0.10450633615255356,0.12367194890975952,0.1275974065065384,5
7,818.0,5.554561614990234,0.7829259634017944,0.779787540435791,0.7791815996170044,0.10445582866668701,0.10467883199453354,0.12601341307163239,0.13007859885692596,5
8,799.0,5.087765216827393,0.781050443649292,0.7779704332351685,0.7774093151092529,0.10463815927505493,0.10478980094194412,0.1279747635126114,0.13200388848781586,5
9,780.0,4.670868873596191,0.779486358165741,0.7763011455535889,0.7757469415664673,0.10481797903776169,0.10493563860654831,0.12958519160747528,0.13377048075199127,5
