denoising_index,timestep,sigma,energy_first,energy_last_pre_update,energy_final,mid_ratio_first,mid_ratio_last,up_ratio_first,up_ratio_last,executed_inner_iterations
0,951.0,11.028335571289062,0.8020865321159363,0.7990972995758057,0.7982653975486755,0.10184676945209503,0.10266939550638199,0.10697491466999054,0.11043348163366318,5
1,932.0,9.91717529296875,0.7986005544662476,0.7943603992462158,0.7936215400695801,0.10203348845243454,0.10292471200227737,0.11069841682910919,0.11541018635034561,5
2,913.0,8.943601608276367,0.7953990697860718,0.79222571849823,0.791654646396637,0.10210348665714264,0.10275275260210037,0.1142347902059555,0.1178114116191864,5
3,894.0,8.088179588317871,0.7944323420524597,0.7907857894897461,0.7901809215545654,0.10270125418901443,0.10337138175964355,0.11472056806087494,0.1188535988330841,5
4,875.0,7.334478855133057,0.7894556522369385,0.7868626117706299,0.7861911058425903,0.10348417609930038,0.10385709255933762,0.11956220865249634,0.12289678305387497,5
5,856.0,6.668572902679443,0.7921451926231384,0.7876548767089844,0.7869085073471069,0.10355488955974579,0.1041874885559082,0.11644094437360764,0.1217421442270279,5
6,837.0,6.078628063201904,0.7870230674743652,0.7831692695617676,0.7822803258895874,0.10455337166786194,0.10471904277801514,0.12123871594667435,0.12648263573646545,5
7,818.0,5.554561614990234,0.7876530289649963,0.7849528193473816,0.7843154668807983,0.10400283336639404,0.10445434600114822,0.12108297646045685,0.12442654371261597,5
8,799.0,5.087765216827393,0.7843353748321533,0.7804721593856812,0.7795066833496094,0.10478577762842178,0.10490786284208298,0.1240648627281189,0.12946945428848267,5
9,780.0,4.670868873596191,0.7823668718338013,0.7793058156967163,0.7787278890609741,0.1047654077410698,0.1050247848033905,0.12633605301380157,0.1302442103624344,5
