denoising_index,timestep,sigma,inner_index,mid_ratio,up_ratio,aggregate_energy,loss_scaled,gradient_norm,latent_norm,update_norm,relative_update,has_nan_or_inf,update_executed
0,951.0,11.028335571289062,0,0.10184676945209503,0.10697491466999054,0.8020865321159363,24.06259536743164,0.01317596435546875,2828.0,1.6025390625,0.0005664825439453125,False,True
0,951.0,11.028335571289062,1,0.10200709104537964,0.10759370028972626,0.8013901114463806,24.041704177856445,0.01348114013671875,2828.0,1.6396484375,0.000579833984375,False,True
0,951.0,11.028335571289062,2,0.10217119008302689,0.10823184251785278,0.8006735444068909,24.020206451416016,0.0138092041015625,2828.0,1.6787109375,0.0005936622619628906,False,True
0,951.0,11.028335571289062,3,0.10232963413000107,0.10891607403755188,0.7999213933944702,23.997642517089844,0.01410675048828125,2828.0,1.7158203125,0.000606536865234375,False,True
0,951.0,11.028335571289062,4,0.10250537097454071,0.10966415703296661,0.7990972995758057,23.972919464111328,0.0143280029296875,2828.0,1.7431640625,0.0006165504455566406,False,True
1,932.0,9.91717529296875,0,0.10203348845243454,0.11069841682910919,0.7986005544662476,23.958017349243164,0.0213775634765625,2544.0,2.103515625,0.0008268356323242188,False,True
1,932.0,9.91717529296875,1,0.10227329283952713,0.11203771829605103,0.7971951365470886,23.91585350036621,0.0187225341796875,2544.0,1.8408203125,0.0007233619689941406,False,True
1,932.0,9.91717529296875,2,0.10247024893760681,0.11306607723236084,0.796105682849884,23.88317108154297,0.01715087890625,2544.0,1.6865234375,0.0006628036499023438,False,True
1,932.0,9.91717529296875,3,0.10264287143945694,0.11393845826387405,0.7951774001121521,23.855321884155273,0.0160980224609375,2544.0,1.5830078125,0.0006222724914550781,False,True
1,932.0,9.91717529296875,4,0.10278928279876709,0.11471264064311981,0.7943603992462158,23.830812454223633,0.015167236328125,2544.0,1.4912109375,0.0005860328674316406,False,True
2,913.0,8.943601608276367,0,0.10210348665714264,0.1142347902059555,0.7953990697860718,23.86197280883789,0.0212249755859375,2294.0,1.697265625,0.00074005126953125,False,True
2,913.0,8.943601608276367,1,0.1022765040397644,0.11528885364532471,0.7943106889724731,23.829320907592773,0.017913818359375,2294.0,1.43359375,0.0006251335144042969,False,True
2,913.0,8.943601608276367,2,0.10241773724555969,0.11606764793395996,0.7934951782226562,23.804855346679688,0.01617431640625,2294.0,1.29296875,0.0005636215209960938,False,True
2,913.0,8.943601608276367,3,0.1025402843952179,0.11669415235519409,0.7928315997123718,23.784948348999023,0.01525115966796875,2294.0,1.2197265625,0.0005316734313964844,False,True
2,913.0,8.943601608276367,4,0.10265106707811356,0.1172676831483841,0.79222571849823,23.76677131652832,0.0146636962890625,2294.0,1.1728515625,0.00051116943359375,False,True
3,894.0,8.088179588317871,0,0.10270125418901443,0.11472056806087494,0.7944323420524597,23.832969665527344,0.0281524658203125,2076.0,1.841796875,0.0008873939514160156,False,True
3,894.0,8.088179588317871,1,0.10290640592575073,0.11620330065488815,0.7929367423057556,23.788103103637695,0.0206298828125,2076.0,1.349609375,0.0006499290466308594,False,True
3,894.0,8.088179588317871,2,0.10304595530033112,0.117023766040802,0.7920868396759033,23.762605667114258,0.0179595947265625,2076.0,1.1748046875,0.0005660057067871094,False,True
3,894.0,8.088179588317871,3,0.10316304862499237,0.11766966432332993,0.7914116382598877,23.74234962463379,0.01708984375,2076.0,1.1181640625,0.0005388259887695312,False,True
3,894.0,8.088179588317871,4,0.10326702892780304,0.1182735487818718,0.7907857894897461,23.723573684692383,0.0167236328125,2076.0,1.09375,0.0005269050598144531,False,True
4,875.0,7.334478855133057,0,0.10348417609930038,0.11956220865249634,0.7894556522369385,23.683670043945312,0.0191497802734375,1885.0,1.0302734375,0.0005464553833007812,False,True
4,875.0,7.334478855133057,1,0.10356748849153519,0.1202181801199913,0.7888036966323853,23.66411018371582,0.0189361572265625,1885.0,1.0185546875,0.0005402565002441406,False,True
4,875.0,7.334478855133057,2,0.1036466583609581,0.12087289243936539,0.7881568670272827,23.64470672607422,0.0189056396484375,1885.0,1.0166015625,0.0005393028259277344,False,True
4,875.0,7.334478855133057,3,0.10371570289134979,0.12152539938688278,0.7875216007232666,23.625648498535156,0.0189971923828125,1885.0,1.0224609375,0.0005426406860351562,False,True
4,875.0,7.334478855133057,4,0.10379312932491302,0.1221967563033104,0.7868626117706299,23.605878829956055,0.0192108154296875,1885.0,1.0341796875,0.0005488395690917969,False,True
5,856.0,6.668572902679443,0,0.10355488955974579,0.11644094437360764,0.7921451926231384,23.76435661315918,0.03497314453125,1715.0,1.5546875,0.0009064674377441406,False,True
5,856.0,6.668572902679443,1,0.10372448712587357,0.1181614100933075,0.790474534034729,23.714235305786133,0.029144287109375,1715.0,1.2958984375,0.0007557868957519531,False,True
5,856.0,6.668572902679443,2,0.10385654121637344,0.11933211982250214,0.7893244624137878,23.679733276367188,0.0247955322265625,1715.0,1.1025390625,0.0006427764892578125,False,True
5,856.0,6.668572902679443,3,0.10397450625896454,0.12022048979997635,0.7884368300437927,23.653104782104492,0.0230712890625,1715.0,1.0263671875,0.0005984306335449219,False,True
