eta,iteration,inside_ratio,layout_loss,grad_norm,relative_update,latent_norm,delta_ratio_vs_initial,delta_loss_vs_initial,cumulative_update_norm,cumulative_relative_update
1000.0,0,0.10536722838878632,0.8946327567100525,0.0005707740783691406,0.001277923583984375,446.75,0.0,0.0,0.0,0.0
1000.0,1,0.10578098893165588,0.8942190408706665,0.0005707740783691406,0.001277923583984375,446.75,0.00041376054286956787,-0.00041371583938598633,0.57666015625,0.0012903213500976562
1000.0,2,0.10620675981044769,0.8937932252883911,0.0005707740783691406,0.001277923583984375,446.75,0.000839531421661377,-0.000839531421661377,1.1318359375,0.002532958984375
1000.0,3,0.1066199541091919,0.8933800458908081,0.0005598068237304688,0.0012521743774414062,446.75,0.0012527257204055786,-0.0012527108192443848,1.6875,0.00377655029296875
1000.0,4,0.10701967030763626,0.8929803371429443,0.0005679130554199219,0.0012712478637695312,446.75,0.001652441918849945,-0.0016524195671081543,2.23046875,0.004993438720703125
1000.0,5,0.10743928700685501,0.8925607204437256,0.0005669593811035156,0.0012693405151367188,446.75,0.002072058618068695,-0.0020720362663269043,2.78125,0.0062255859375
1000.0,6,0.1078592836856842,0.8921407461166382,0.000568389892578125,0.0012722015380859375,446.75,0.002492055296897888,-0.0024920105934143066,3.33203125,0.007457733154296875
1000.0,7,0.10826757550239563,0.8917324542999268,0.0005669593811035156,0.0012693405151367188,446.75,0.002900347113609314,-0.0029003024101257324,3.880859375,0.00868988037109375
1000.0,8,0.10869211703538895,0.8913078904151917,0.0005750656127929688,0.0012874603271484375,446.75,0.0033248886466026306,-0.00332486629486084,4.4296875,0.009918212890625
1000.0,9,0.10912223160266876,0.8908777832984924,0.0005731582641601562,0.0012826919555664062,446.75,0.0037550032138824463,-0.0037549734115600586,4.984375,0.0111541748046875
1000.0,10,0.10955014824867249,0.8904498815536499,0.0005698204040527344,0.0012750625610351562,446.75,0.004182919859886169,-0.004182875156402588,5.5390625,0.01239776611328125
1000.0,11,0.10998345911502838,0.8900165557861328,0.0005779266357421875,0.001293182373046875,446.75,0.004616230726242065,-0.004616200923919678,6.0859375,0.0136260986328125
1000.0,12,0.11041885614395142,0.8895811438560486,0.0005788803100585938,0.0012950897216796875,446.75,0.0050516277551651,-0.005051612854003906,6.640625,0.014862060546875
1000.0,13,0.11086725443601608,0.8891327381134033,0.0005707740783691406,0.001277923583984375,446.75,0.005500026047229767,-0.00550001859664917,7.19921875,0.01611328125
1000.0,14,0.11129945516586304,0.888700544834137,0.0005774497985839844,0.0012922286987304688,446.75,0.005932226777076721,-0.005932211875915527,7.7421875,0.017333984375
1000.0,15,0.11175114661455154,0.888248860836029,0.0005793571472167969,0.0012960433959960938,446.75,0.006383918225765228,-0.0063838958740234375,8.296875,0.0185699462890625
1000.0,16,0.11219856142997742,0.8878014087677002,0.0005826950073242188,0.0013027191162109375,447.0,0.006831333041191101,-0.006831347942352295,8.8515625,0.019805908203125
1000.0,17,0.11265033483505249,0.8873496651649475,0.0005831718444824219,0.0013055801391601562,447.0,0.007283106446266174,-0.0072830915451049805,9.40625,0.02105712890625
1000.0,18,0.11311188340187073,0.8868881464004517,0.0005788803100585938,0.0012950897216796875,447.0,0.007744655013084412,-0.00774461030960083,9.9609375,0.0222930908203125
1000.0,19,0.1135624423623085,0.8864375352859497,0.0005755424499511719,0.0012874603271484375,447.0,0.008195213973522186,-0.008195221424102783,10.5078125,0.0235137939453125
1000.0,20,0.11401773989200592,0.8859822750091553,0.0005769729614257812,0.0012903213500976562,447.0,0.008650511503219604,-0.008650481700897217,11.0546875,0.024749755859375
